"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-01","0.00","0.0","0.0","42","49","37"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-02","0.00","0.0","0.0","48","51","45"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-03","0.61","0.0","0.0","54","62","49"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-04","0.94","0.0","0.0","57","59","37"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-05","0.05","0.0","0.0","42","47","36"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-06","0.02","0.3","0.0","36","38","33"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-07","0.06","0.3","0.0","33","35","31"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-08","0.00","0.0","0.0","32","37","29"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-09","0.00","0.0","0.0","32","36","30"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-10","0.00","0.0","0.0","34","44","30"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-11","0.03","0.0","0.0","40","50","32"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-12","1.03","0.0","0.0","45","48","35"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-13","0.34","2.1","0.0","33","36","29"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-14","0.00","0.0","1.2","28","29","21"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-15","0.00","0.0","1.2","24","36","16"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-16","0.22","0.0","0.0","32","46","22"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-17","0.01","0.0","0.0","45","56","38"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-18","0.01","0.0","0.0","40","42","38"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-19","1.02","0.0","0.0","45","58","38"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-20","0.05","0.2","0.0","38","40","34"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-21","0.00","0.0","0.0","34","35","32"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-22","0.34","4.4","0.0","33","33","31"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-23","0.06","0.8","3.9","32","33","29"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-24","0.00","0.0","3.1","31","36","28"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-25","0.38","0.6","2.0","35","43","33"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-26","0.13","1.2","0.0","34","34","27"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-27","0.03","0.6","2.0","28","37","25"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-28","0.00","0.0","0.0","35","40","29"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-29","0.11","0.0","0.0","39","46","30"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-30","0.10","0.5","0.0","30","32","25"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-01-31","0.00","0.0","1.2","21","25","16"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-01","0.00","0.0","0.0","19","28","14"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-02","0.00","0.0","0.0","27","39","21"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-03","0.00","0.0","0.0","20","24","12"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-04","0.00","0.0","0.0","19","37","12"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-05","0.00","0.0","0.0","42","48","37"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-06","0.00","0.0","0.0","36","40","32"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-07","0.00","0.0","0.0","41","57","31"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-08","0.00","0.0","0.0","40","47","35"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-09","0.56","0.0","0.0","50","68","41"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-10","0.00","0.0","0.0","42","42","30"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-11","0.00","0.0","0.0","33","41","27"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-12","0.00","0.0","0.0","36","52","25"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-13","0.00","0.0","0.0","41","54","32"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-14","0.00","0.0","0.0","40","54","27"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-15","0.00","0.0","0.0","58","68","45"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-16","0.07","0.0","0.0","44","60","37"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-17","0.01","0.1","0.0","34","60","22"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-18","0.00","0.0","0.0","29","46","22"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-19","0.00","0.0","0.0","44","57","37"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-20","0.00","0.0","0.0","44","48","35"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-21","0.00","0.0","0.0","40","49","31"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-22","1.36","0.0","0.0","34","37","32"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-23","0.01","0.0","0.0","44","67","33"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-24","0.00","0.0","0.0","34","37","24"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-25","0.07","1.1","1.2","29","42","23"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-26","0.00","0.0","0.0","36","49","29"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-27","0.72","0.0","0.0","38","51","28"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-02-28","0.04","0.0","0.0","42","47","34"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-03-01","0.01","0.0","0.0","43","62","33"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-03-02","0.00","0.0","0.0","41","46","35"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-03-03","1.13","0.0","0.0","38","49","35"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-03-04","0.00","0.0","0.0","41","50","35"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-03-05","0.00","0.0","0.0","43","49","37"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","2023-03-06","0.17","0.0","0.0","42","56","36"
