"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-02",,,"0.01","0.1","0.0",,"30","26"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-03",,,"0.04","0.4","1.0",,"30","26"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-04",,,"0.06","0.7","0.0",,"27","23"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-05",,,"0.05","0.8","1.0",,"29","22"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-06",,,"0.00","0.0","2.0",,"31","11"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-07",,,"0.02","0.1","2.0",,"39","20"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-08",,,"0.00","0.0","1.0",,"24","13"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-09",,,"0.00","0.0","1.0",,"26","13"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-10",,,"0.00","0.0","0.0",,"46","12"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-11",,,"0.54","0.0","0.0",,"54","22"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-12",,,"0.00","0.0","0.0",,"25","16"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-13",,,"0.00","0.0","0.0",,"42","18"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-14",,,"0.02","0.0","0.0",,"43","29"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-15",,,"0.00","0.0","0.0",,"35","32"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-16",,,"0.00","0.0","0.0",,"50","29"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-17",,,"0.01","0.0","0.0",,"55","37"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-18",,,"0.00","0.0","0.0",,"38","34"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-19",,,"0.00","0.0","0.0",,"35","28"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-20",,,"0.00","0.0","0.0",,"33","20"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-21",,,"0.00","0.0","0.0",,"37","18"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-22",,,"0.01","0.0","0.0",,"35","30"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-23",,,"0.25","5.2","0.0",,"30","11"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-24",,,"0.08","1.8","7.0",,"19","4"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-25",,,"0.06","1.1","6.0",,"31","17"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-26",,,"0.00","0.0","5.0",,"24","6"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-27",,,"0.00","0.0","5.0",,"25","3"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-28",,,"0.00","0.0","4.0",,"22","10"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-29",,,"0.01","0.1","4.0",,"16","3"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-30",,,"0.00","0.2","3.0",,"19","3"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-01-31",,,"0.02","0.8","4.0",,"18","14"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-01",,,"0.03","1.2","5.0",,"17","11"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-02",,,"0.00","0.0","6.0",,"17","-1"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-03",,,"0.00","0.0","6.0",,"18","-5"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-04",,,"0.04","1.4","6.0",,"22","6"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-05",,,"0.00","0.0","6.0",,"29","-2"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-06",,,"0.00","0.0","5.0",,"31","16"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-07",,,"0.00","0.1","4.0",,"23","12"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-08",,,"0.00","0.0","4.0",,"27","12"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-09",,,"0.00","0.0","4.0",,"25","16"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-10",,,"0.00","0.2","4.0",,"25","16"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-11",,,"0.03","1.0","4.0",,"29","16"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-12",,,"0.00","0.0","5.0",,"30","8"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-13",,,"0.00","0.0","4.0",,"31","7"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-14",,,"0.00","0.0","4.0",,"31","27"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-15",,,"0.21","5.9","4.0",,"28","24"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-16",,,"0.19","2.0","10.0",,"24","16"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-17",,,"0.00","0.0","11.0",,"18","3"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-18",,,"0.00","0.0","10.0",,"29","3"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-19",,,"0.00","0.0","8.0",,"44","28"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-20",,,"0.00","0.0","4.0",,"41","35"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-21",,,"0.19","0.0","3.0",,"40","34"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-22",,,"0.24","0.0","0.0",,"50","37"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-23",,,"0.02","0.0","0.0",,"37","35"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-24",,,"0.00","0.0","0.0",,"36","30"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-25",,,"0.18","3.6","0.0",,"35","19"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-26",,,"0.00","0.1","4.0",,"19","14"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-27",,,"0.06","1.6","2.0",,"28","17"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-28",,,"0.02","0.4","3.0",,"22","11"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-02-29",,,"0.06","1.7","3.0",,"13","4"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-01",,,"0.00","0.0","3.0",,"12","4"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-02",,,"0.00","0.0","2.0",,"14","2"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-03",,,"0.00","0.0","2.0",,"30","4"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-04",,,"0.01","0.3","2.0",,"41","21"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-05",,,"0.28","0.7","0.0",,"41","26"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-06",,,"0.00","0.0","0.0",,"35","20"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-07",,,"0.70","0.0","0.0",,"37","28"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-08",,,"0.07","0.0","0.0",,"35","28"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-09",,,"0.00","0.0","0.0",,"40","25"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-10",,,"0.10","0.0","0.0",,"51","21"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1980-03-11",,,"0.00","0.5","0.0",,"28","19"
